date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,trend
917,156.5877,156.843,155.5373,155.822,20810632,20810632,0.058899,0.038,156.0816,1.377996112,UP
918,155.0072,155.3606,151.0118,153.2107,52951364,52951364,-2.6113,-1.676,152.8151,1.33814512,DOWN
919,152.9457,152.9457,149.9516,150.5798,37511661,37511661,-2.6309,-1.717,150.9918,1.297995013,DOWN
920,149.2349,149.4804,147.8017,149.1073,46645443,46645443,-1.4725,-0.978,148.6246,1.275523223,DOWN
921,147.2421,149.0484,146.4273,147.7919,44387336,44387336,-1.3155,-0.882,147.6496,1.255448932,DOWN
922,148.9993,151.1001,148.911,150.3344,36660045,36660045,2.5426,1.72,150.0314,1.294249969,UP
923,150.9823,151.8844,150.7271,151.4044,25504227,25504227,1.07,0.712,151.405,1.310579215,UP
924,151.0707,151.4535,149.9025,150.4719,22005455,22005455,-0.932595,-0.616,150.3905,1.296348353,DOWN
925,150.4031,151.3063,149.2153,151.2965,26299810,26299810,0.824611,0.548,150.6175,1.308932556,UP
926,151.4339,151.6204,149.9221,150.9921,18698842,18698842,-0.30432,-0.201,150.7668,1.304287114,DOWN
927,151.1885,152.2487,151.0903,151.6499,16230293,16230293,0.657725,0.436,151.7076,1.314325785,UP
928,150.8154,151.0412,149.6669,150.6682,20163750,20163750,-0.981681,-0.647,150.5215,1.299344083,DOWN
929,151.3554,152.5923,151.2277,152.5432,21283769,21283769,1.875,1.244,152.2043,1.327958417,UP
930,152.1309,152.6414,151.7284,152.4548,17407558,17407558,-0.088352,-0.058,152.1923,1.326609346,DOWN
931,152.9555,153.8586,152.6365,152.985,16262923,16262923,0.530107,0.348,153.1348,1.334700717,UP
932,153.196,155.1054,152.2585,153.0439,15617014,15617014,0.058901,0.039,152.9722,1.335599589,UP
933,153.1126,154.1041,152.8966,153.6819,16905640,16905640,0.638092,0.417,153.6533,1.345336093,UP
934,153.4856,154.4869,152.8769,153.142,16125054,16125054,-0.539925,-0.351,153.7079,1.337096691,DOWN
935,153.8586,154.3986,153.5445,154.1139,16394188,16394188,0.971863,0.635,154.0344,1.351928835,UP
936,155.0072,157.0687,154.7618,156.9509,24121452,24121452,2.8371,1.841,156.359,1.39522423,UP
937,156.8528,157.9228,156.3128,157.5301,18997275,18997275,0.57919,0.369,157.1058,1.404063388,UP
938,157.481,157.7657,156.6761,156.8331,16374164,16374164,-0.696991,-0.442,157.1532,1.393426486,DOWN
939,153.8783,154.2022,152.18,153.1224,42584166,42584166,-3.7107,-2.366,152.9277,1.336797575,DOWN
940,153.7408,154.86,153.1028,153.3874,23974146,23974146,0.265054,0.173,153.9998,1.340841735,UP
941,154.0157,154.8011,152.6512,153.3089,21984327,21984327,-0.078536,-0.051,153.6996,1.339643748,DOWN
942,153.4267,154.536,153.3384,154.2219,17757230,17757230,0.912963,0.596,154.0595,1.353577021,UP
943,154.0353,154.6636,152.4254,153.5445,21207098,21207098,-0.67736,-0.439,153.4972,1.343239234,DOWN
944,154.3495,154.938,153.9077,154.5262,17000469,17000469,0.98168,0.639,154.5594,1.358220936,UP
